Year,parent_id,id,value,colour
2018,Packaging Materials.6-Pack Holders,6-Pack Holders,0.24582350875432699,#696969
2018,Packaging Materials.Other Plastic / Foam Packaging,Other Plastic / Foam Packaging,32.0072242010736,#696969
2018,"Packaging Materials.Other Plastic Bottles (Oil, Bleach, Etc)","Other Plastic Bottles (Oil, Bleach, Etc)",6.4867305473335675,#696969
2018,Packaging Materials.Strapping Bands,Strapping Bands,3.9983946219836453,#696969
2018,Packaging Materials.Tobacco Packaging / Wrappers,Tobacco Packaging / Wrappers,2.8344955601264235,#696969
2018,Personal Hygiene.Condoms,Condoms,0.19565544574323984,#DA70D6
2018,Personal Hygiene.Diapers,Diapers,0.20067225204434855,#DA70D6
2018,Personal Hygiene.Syringes,Syringes,0.22073947724878343,#DA70D6
2018,Personal Hygiene.Tampons / Tampon Applicators,Tampons / Tampon Applicators,0.12040335122660915,#DA70D6
2019,Fishing Gear.Fishing Buoys,Fishing Buoys,0.47774158523344196,#00BFFF
2019,Fishing Gear.Fishing Net & Pieces,Fishing Net & Pieces,1.860296778863554,#00BFFF
2019,Fishing Gear.Fishing Line ( 1 Meter = 1 Piece),Fishing Line ( 1 Meter = 1 Piece),2.2873688020267826,#00BFFF
2019,Fishing Gear.Rope (1 Meter = 1 Piece),Rope (1 Meter = 1 Piece),7.745204487875498,#00BFFF
2019,Items Of Local Concern.Foam Pieces,Foam Pieces,170.23525153818312,Items Of Local Concern
2019,Items Of Local Concern.Plastic Pieces,Plastic Pieces,92.80492218602969,Items Of Local Concern
2019,Items Of Local Concern.Rubber Bands,Rubber Bands,3.8002171552660156,Items Of Local Concern
2019,Most Likely To Find Items.Beverage Bottles (Glass),Beverage Bottles (Glass),5.515743756786102,Most Likely To Find Items
2019,Most Likely To Find Items.Beverage Bottles (Plastic),Beverage Bottles (Plastic),77.81397032211365,Most Likely To Find Items
2019,Most Likely To Find Items.Beverage Cans,Beverage Cans,4.357582338038364,Most Likely To Find Items
2019,Most Likely To Find Items.Bottle Caps (Metal),Bottle Caps (Metal),2.417661961635903,Most Likely To Find Items
2019,Most Likely To Find Items.Bottle Caps (Plastic),Bottle Caps (Plastic),31.791530944625407,Most Likely To Find Items
2019,Most Likely To Find Items.Cigarette Butts,Cigarette Butts,59.44263481722765,Most Likely To Find Items
2019,Most Likely To Find Items.Cups & Plates (Foam),Cups & Plates (Foam),5.479551212450235,Most Likely To Find Items
2019,Most Likely To Find Items.Cups & Plates (Paper),Cups & Plates (Paper),2.4683315237061167,Most Likely To Find Items
2019,Most Likely To Find Items.Cups & Plates (Plastic),Cups & Plates (Plastic),19.753890698516106,Most Likely To Find Items
2019,"Most Likely To Find Items.Food Wrappers (Candy, Chips, Etc)","Food Wrappers (Candy, Chips, Etc)",34.55664133188563,Most Likely To Find Items
2019,"Most Likely To Find Items.Forks, Knives, Spoons","Forks, Knives, Spoons",9.656170828809266,Most Likely To Find Items
2019,Most Likely To Find Items.Grocery Bags (Plastic),Grocery Bags (Plastic),19.03003981179877,Most Likely To Find Items
2019,Most Likely To Find Items.Lids (Plastic),Lids (Plastic),6.666666666666667,Most Likely To Find Items
2019,Most Likely To Find Items.Other Plastic Bags,Other Plastic Bags,32.76872964169381,Most Likely To Find Items
2019,Most Likely To Find Items.Paper Bags,Paper Bags,1.5128483532392327,Most Likely To Find Items
2019,Most Likely To Find Items.Straws/Stirrers,Straws/Stirrers,50.358306188925084,Most Likely To Find Items
2019,Most Likely To Find Items.Take Out Containers (Foam),Take Out Containers (Foam),10.488599348534201,Most Likely To Find Items
2019,Most Likely To Find Items.Take Out Containers (Plastic),Take Out Containers (Plastic),17.654723127035833,Most Likely To Find Items
2019,"Other Trash.Appliances (Fridges, Washers, Etc)","Appliances (Fridges, Washers, Etc)",0.7962359753890699,#C0C0C0
2019,Other Trash.Balloons,Balloons,0.9916757148027507,#C0C0C0
2019,Other Trash.Cigar Tips,Cigar Tips,0.9120521172638436,#C0C0C0
2019,Other Trash.Cigarette Lighters,Cigarette Lighters,4.7774158523344195,#C0C0C0
2019,Other Trash.Fireworks,Fireworks,0.6152732537097358,#C0C0C0
2019,Other Trash.Tyres,Tyres,0.9916757148027507,#C0C0C0
2019,Packaging Materials.6-Pack Holders,6-Pack Holders,0.22439377488237422,#696969
2019,Packaging Materials.Other Plastic / Foam Packaging,Other Plastic / Foam Packaging,20.267824828085416,#696969
2019,"Packaging Materials.Other Plastic Bottles (Oil, Bleach, Etc)","Other Plastic Bottles (Oil, Bleach, Etc)",7.455664133188564,#696969
2019,Packaging Materials.Strapping Bands,Strapping Bands,4.15490408975751,#696969
2019,Packaging Materials.Tobacco Packaging / Wrappers,Tobacco Packaging / Wrappers,3.112558812884546,#696969
2019,Personal Hygiene.Condoms,Condoms,0.17372421281216072,#DA70D6
2019,Personal Hygiene.Diapers,Diapers,0.24610930148389432,#DA70D6
2019,Personal Hygiene.Syringes,Syringes,0.24610930148389432,#DA70D6
2019,Personal Hygiene.Tampons / Tampon Applicators,Tampons / Tampon Applicators,0.06514657980456026,#DA70D6
