S/N,Year,Site Location,Date of Cleanup,Organization,Name of Organiser,Total number of participants,Total number of trash bags filled,Weight of trash bags collected (kg),Total Distance (metres),DEBRIS SUMMARY,Most Likely to Find Items,Fishing Gear,Packaging Materials,Other Trash,Personal Hygiene,Items of Local Concern,TOTAL ITEMS,Most Likely to Find Items,Most Likely to Find Items.Cigarette Butts,"Most Likely to Find Items.Food Wrappers (candy, chips, etc)",Most Likely to Find Items.Take Out Containers (plastic),Most Likely to Find Items.Take Out Containers (foam),Most Likely to Find Items.Bottle Caps (plastic),Most Likely to Find Items.Bottle Caps (metal),Most Likely to Find Items.Lids (plastic),Most Likely to Find Items.Straws/Stirrers,"Most Likely to Find Items.Forks, Knives, Spoons",Most Likely to Find Items.Beverage Bottles (plastic),Most Likely to Find Items.Beverage Bottles (glass),Most Likely to Find Items.Beverage Cans,Most Likely to Find Items.Grocery Bags (plastic),Most Likely to Find Items.Other Plastic Bags,Most Likely to Find Items.Paper Bags,Most Likely to Find Items.Cups & Plates (paper),Most Likely to Find Items.Cups & Plates (plastic),Most Likely to Find Items.Cups & Plates (foam),Fishing Gear.Fishing Gear,Fishing Gear.Fishing Buoys,Fishing Gear.Fishing Net & Pieces,Fishing Gear.Rope (1 meter = 1 piece),Fishing Gear.Fishing line ( 1 meter = 1 piece),Other Trash.Other Trash,"Other Trash.Appliances (fridges, washers, etc)",Other Trash.Balloons,Other Trash.Cigar Tips,Other Trash.Cigarette Lighters,Other Trash.Construction Materials,Other Trash.Fireworks,Other Trash.Tyres,Items of Local Concern,Items of Local Concern.Foam Pieces,Items of Local Concern.Glass Pieces,Items of Local Concern.Plastic Pieces,Items of Local Concern.Rubber Bands,Packaging Materials,Packaging Materials.6-pack holders,Packaging Materials.Other Plastic / Foam Packaging,"Packaging Materials.Other Plastic Bottles (oil, bleach, etc)",Packaging Materials.Strapping bands,Packaging Materials.Tobacco Packaging / Wrappers,Personal Hygiene,Personal Hygiene.Condoms,Personal Hygiene.Diapers,Personal Hygiene.Syringes,Personal Hygiene.Tampons / Tampon Applicators,Dead / Injured Animals,Dead / Injured Animals.What Animal?,Dead / Injured Animals.Dead or Injured?,Dead / Injured Animals.Is the animal entangled? Entangled by what?,Comments
233,2017,Sungei Pandan Mangroves,"Saturday, 9 September 2017",Crescent Girls' School ,Ou Yang Xiuling,21,8,109,50,385,179,25,34,28,0,119,385,179,1,32,10,0,4,1,0,5,3,26,16,11,11,51,4,1,3,0,25,1,6,16,2,28,0,0,0,0,26,0,2,119,19,6,90,4,34,0,21,0,11,2,0,0,0,0,0,,Mud Crab,,,
234,2017,Sungei Pandan Mangroves,"Saturday, 9 September 2017",Ministry of Education (MOE),MOE SWB/ Madeline Chen,30,20,36,90,1181,896,11,91,15,10,158,1181,896,3,165,12,3,84,4,13,35,12,22,27,67,117,224,42,4,56,6,11,0,4,6,1,15,0,0,0,4,11,0,0,158,24,3,103,28,91,1,22,7,13,48,10,10,0,0,0,,Horseshoe crab,,,
235,2017,Sungei Pandan Mangroves,"Saturday, 9 September 2017",NUS High School of Mathematics and Science,NUSH Otters,25,30,315,100,1080,723,3,32,17,0,305,1080,723,12,174,20,10,41,0,11,65,12,97,4,61,71,103,13,4,18,7,3,0,0,3,0,17,0,1,0,4,8,0,4,305,82,1,218,4,32,0,16,2,2,12,0,0,0,0,0,,3 Horseshoe crabs,,,
236,2017,Sungei Pandan Mangroves,"Saturday, 9 September 2017",Trash Hero Singapore,Stella Cochrane,4,6,37,60,545,338,5,78,14,0,110,545,338,5,70,1,1,12,0,0,98,12,89,1,19,27,2,0,0,1,0,5,0,0,5,0,14,0,1,0,11,2,0,0,110,55,2,50,3,78,0,75,1,0,2,0,0,0,0,0,,Horseshoe Crab ,,,
237,2017,"Tanjong Rimau, Sentosa","Saturday, 23 September 2017",Sentosa Development Corporation,Lieow Shao Wei,28,10,102,230,328,150,17,33,8,0,120,328,150,0,6,2,3,23,2,2,1,12,46,14,5,8,25,0,0,1,0,17,0,1,16,0,8,0,0,0,0,7,0,1,120,17,78,25,0,33,0,28,2,2,1,0,0,0,0,0,,Nil,,,
238,2017,Pulau Semakau,"Saturday, 9 September 2017",HSBC,Ron Yeo,55,45,225,800,1719,1424,21,47,2,0,225,1719,1424,0,93,24,8,1,0,1,5,3,798,33,16,233,11,1,5,191,1,21,2,7,11,1,2,0,0,0,1,1,0,0,225,148,59,17,1,47,0,41,6,0,0,0,0,0,0,0,,Nil,,,
239,2017,West Coast Park Beach,"Saturday, 23 September 2017",RGBLife,Tan Bei Yi,21,17,192,100,1027,549,83,50,34,0,311,1027,549,76,69,38,51,8,2,4,26,29,35,2,21,32,111,7,3,32,3,83,0,10,70,3,34,5,0,0,9,20,0,0,311,76,23,207,5,50,1,33,3,6,7,0,0,0,0,0,,NIL,,,
240,2017,East Coast Park Beach 1,"Saturday, 23 September 2017",Black and Veatch (SEA) Pte Ltd,Kathryn,36,11,32,270,1225,627,25,99,21,1,452,1225,627,217,21,5,2,89,3,7,107,9,66,5,7,8,23,0,7,45,6,25,1,11,11,2,21,1,1,4,7,8,0,0,452,191,19,241,1,99,0,85,2,0,12,1,0,0,1,0,,NIL,,,
241,2017,East Coast Park Beach 2,"Saturday, 9 September 2017",Advantest (Singapore) Pte Ltd,Leong Mei Leng,32,20,141,300,2622,2017,3,0,6,4,592,2622,2017,98,276,3,0,230,0,0,390,74,196,9,4,0,129,0,0,608,0,3,0,0,3,0,6,0,0,0,6,0,0,0,592,585,0,7,0,0,0,0,0,0,0,4,0,3,1,0,,Nil,,,
242,2017,East Coast Park Beach 3,"Saturday, 23 September 2017",Inland Revenue Authority of Singapore (IRAS),Jonathan Yap,32,8,12,500,1446,854,5,35,17,0,535,1446,854,671,23,1,20,34,26,3,47,7,6,1,3,1,7,0,1,3,0,5,0,0,3,2,17,0,6,0,0,10,1,0,535,405,2,100,28,35,0,15,0,7,13,0,0,0,0,0,,Bird,,,
243,2017,East Coast Park Beach 3,"Saturday, 23 September 2017",Singapore Customs ,Lee Yong Siang & Sahrul ,19,12,81,450,1179,649,47,125,20,1,337,1179,649,125,43,10,10,118,7,23,54,6,100,8,5,4,43,0,10,70,13,47,2,26,10,9,20,0,0,11,9,0,0,0,337,177,18,129,13,125,0,95,5,20,5,1,0,0,1,0,,Frog ,,,
244,2017,East Coast Park Beach 4,"Saturday, 23 September 2017",KBC Bank N.V. Singapore,Bryan Zhao / Katelyn / Nigel / Aaron / Jean Yee / Annabel,31,21,94,250,2866,1733,77,225,170,0,661,2866,1733,617,82,32,46,189,20,46,132,47,150,16,11,38,124,18,27,127,11,77,0,12,57,8,170,0,45,16,20,89,0,0,661,424,40,176,21,225,0,159,23,15,28,0,0,0,0,0,,NIL,,,
245,2017,East Coast Park Beach 5,"Saturday, 23 September 2017",Shinnyo-en Singapore,Cherene Chan,90,25,81,500,5160,3734,75,149,136,5,1061,5160,3734,1961,251,99,76,256,86,80,207,78,144,23,47,62,80,97,57,48,82,75,5,32,27,11,136,0,33,37,31,24,11,0,1061,494,62,403,102,149,0,76,17,18,38,5,0,5,0,0,,NIL,,,
246,2017,East Coast Park Beach 6-12,"Thursday, 14 September 2017",Raffles Girls School,Raffles Girls School,472,64,433,5000,32167,14552,187,1269,676,45,15438,32167,14552,6605,1608,277,152,1316,250,162,1613,336,890,84,49,135,221,68,52,434,300,187,2,55,110,20,676,11,114,136,125,282,4,4,15438,12098,180,2968,192,1269,9,1042,91,79,48,45,9,4,9,23,,Two Birds,,,
247,2017,Tanah Merah 2-4,"Saturday, 23 September 2017",Continental Automotive Singapore Pte Ltd.,Khadar Shareef Akbar,70,74,269,850,3745,2135,99,477,153,9,872,3745,2135,138,72,125,71,192,10,106,162,51,680,52,44,39,98,7,19,218,51,99,12,34,46,7,153,11,2,30,76,34,0,0,872,534,18,271,49,477,24,296,126,11,20,9,0,3,6,0,,catfish,,,
248,2017,Tanah Merah 5,"Saturday, 23 September 2017",Adrian and Friends,Adrian Lim,12,6,36,30,922,368,35,50,111,1,357,922,368,27,13,2,8,54,1,70,56,14,68,1,2,9,6,0,2,31,4,35,1,11,21,2,111,0,2,94,15,0,0,0,357,288,12,52,5,50,0,22,14,3,11,1,0,0,0,1,,Large Mud Crab,,,
249,2017,Tanah Merah 6,"Saturday, 23 September 2017",Rebecca and Friends,Rebecca Loy,14,13,78,30,2833,1346,60,46,71,1,1309,2833,1346,0,127,21,11,349,0,14,305,84,245,13,1,9,0,7,0,160,0,60,0,10,49,1,71,1,0,0,19,51,0,0,1309,867,0,440,2,46,0,36,10,0,0,1,0,0,1,0,,NIL,,,
250,2017,Tanah Merah 7,"Friday, 8 September 2017",French Chamber of Commerce,Sylvie BERTHAUD,362,290,2595,700,24882,17876,115,799,199,36,5857,24882,17876,678,1604,951,955,1076,137,437,3835,180,4100,230,369,592,571,89,260,1411,401,115,17,25,58,15,199,1,27,16,115,37,1,2,5857,4937,33,851,36,799,4,617,147,25,6,36,3,1,1,31,,Snail,,,
251,2017,Tanah Merah 7,"Saturday, 9 September 2017",NUS College of Alice and Peter Tan (CAPT),"Joelle Lai, Toh Tai Chong",70,32,355,200,7322,3456,38,813,138,0,2877,7322,3456,35,240,17,21,122,10,10,889,20,1108,21,12,75,365,3,0,501,7,38,2,6,29,1,138,1,3,98,26,9,0,1,2877,2137,33,694,13,813,0,739,37,19,18,0,0,0,0,0,,Nil,,,
252,2017,Tanah Merah 7,"Saturday, 23 September 2017",NUS Prince George Park Residences (PGPR),Sohn In Jae,16,10,46,200,2434,651,9,30,10,0,1734,2434,651,58,86,8,21,72,0,44,59,2,181,12,11,24,7,1,1,27,37,9,0,1,5,3,10,0,0,1,8,1,0,0,1734,1341,19,370,4,30,0,17,11,2,0,0,0,0,0,0,,NIL,,,
253,2017,Tanah Merah 7,"Saturday, 23 September 2017",NUS Ridge View Residential College (RVRC),Lim Cheng Puay,256,100,505,200,17720,5814,148,690,138,8,10922,17720,5814,130,411,113,79,222,7,60,983,53,2169,66,36,124,417,5,5,719,215,148,4,34,105,5,138,8,11,2,80,36,0,1,10922,9120,250,1375,177,690,1,548,97,39,5,8,3,4,1,0,,Nil,,,
254,2017,Tanah Merah 7,"Saturday, 23 September 2017","S.E.A. Aquarium, Resort World Sentosa (w/ TOA Corporation)",Nivedha Tamilselvan,95,64,290,100,7176,2584,50,459,92,4,3987,7176,2584,154,43,27,59,53,1,27,373,28,1441,36,5,5,140,4,7,172,9,50,2,21,26,1,92,0,0,35,49,5,0,3,3987,3868,1,109,9,459,0,314,138,3,4,4,1,0,1,2,,Nil,,,
255,2017,Tanah Merah 7,"Saturday, 23 September 2017",SATO Asia Pacific Pte Ltd,Wellson Low,80,35,171,300,3722,2178,34,47,63,3,1397,3722,2178,28,58,76,43,63,0,13,326,6,835,72,20,195,211,2,51,127,52,34,1,6,27,0,63,16,1,10,32,4,0,0,1397,1038,16,330,13,47,0,24,0,20,3,3,0,0,3,0,,NIL,,,
256,2016,Lim Chu Kang Beach,3rd September 2016,Republic Polytechnic Conservation Interest Group,Lim Ke Le,17,9,56,70,784,563,9,104,9,0,99,784,563,0,35,6,13,24,1,10,49,4,32,6,2,192,152,14,7,14,2,9,0,7,0,2,9,0,2,0,2,5,0,0,99,39,9,48,3,104,0,85,1,17,1,0,0,0,0,0,,Calms,,,
257,2016,Lim Chu Kang Beach,"Saturday, 3 September 2016",RGBLife,Tan Bei Yi,27,22,76,50,713,498,12,78,25,1,99,713,498,2,50,2,1,25,2,1,46,4,26,5,2,171,127,5,0,20,9,12,0,3,9,0,25,0,0,0,7,17,0,1,99,39,9,48,3,78,0,70,1,1,6,1,0,1,0,0,,NIL,,,
258,2016,Lim Chu Kang East Mangrove,"Saturday, 3 September 2016",Ministry Of Adventure,Aw Boon Jun,20,26,362,50,559,395,4,54,14,0,92,559,395,0,37,13,2,0,1,1,5,2,35,6,3,146,120,0,4,20,0,4,0,1,3,0,14,3,0,0,2,9,0,0,92,28,0,64,0,54,0,50,4,0,0,0,0,0,0,0,,Horseshoe Crab ,,,
259,2016,Lim Chu Kang East Mangroves,"Saturday, 3 September 2016",SAVE Club,Singapore American School,65,46,407,150,1587,1010,42,78,16,9,432,1587,1010,10,136,13,43,19,3,11,47,11,126,21,9,136,336,12,9,18,50,42,4,16,19,3,16,0,0,0,8,5,0,3,432,263,10,154,5,78,2,60,13,0,3,9,4,0,2,3,,Fish,,,
260,2016,Sungei Buloh West Mangrove,"Saturday, 3 September 2016",Jurong Secondary School,Faidzil Abdul Rahman,62,50,154,500,1880,1118,33,103,36,16,574,1880,1118,70,126,57,124,32,12,43,55,23,77,26,25,158,96,0,0,117,77,33,8,4,18,3,36,1,0,0,15,19,0,1,574,423,95,56,0,103,2,15,77,0,9,16,0,16,0,0,,Fish,,,
261,2016,Sungei Buloh West Mangrove,"Saturday, 3 September 2016",Earthlink NTU,"Goh Shu Hui Gina, Wong Zhi Sian",34,33,169.5,50,1924,1075,14,190,34,4,607,1924,1075,0,225,9,19,10,2,10,156,4,41,22,10,222,267,0,3,59,16,14,0,6,8,0,34,1,0,0,5,28,0,0,607,306,45,253,3,190,0,159,5,17,9,4,1,2,1,0,,Fish,,,
262,2016,Kranji Bund Mudflats,"Saturday, 17 September 2016",Nature Society (Singapore),Kerry Pereira,71,68,580,200,1820,749,50,89,140,0,792,1820,749,2,140,13,11,14,36,25,16,38,40,80,20,101,181,4,2,22,4,50,0,26,18,6,140,8,2,1,3,116,0,10,792,27,205,511,49,89,0,50,8,29,2,0,0,0,0,0,,Horseshoe Crab,,,
263,2016,Kranji Bund East Mangrove,"Saturday, 17 September 2016",Better Trails LLP,Tan Hang Chong,24,35,352,150,474,316,29,28,46,0,55,474,316,5,76,3,6,1,0,1,6,17,24,40,20,62,26,11,4,13,1,29,0,23,4,2,46,5,0,0,5,35,0,1,55,0,7,48,0,28,2,7,16,2,1,0,0,0,0,0,,More than 250 Mangrove Horseshoe Crabs,,,
264,2016,Sungei Mandai Kechil (back mangrove),"Saturday, 15 October 2016",Toddycats & friends,Germaine Leng,19,44,185,80,3684,1997,5,207,36,5,1434,3684,1997,0,134,66,37,36,4,17,73,21,1242,51,80,100,65,0,0,40,31,5,3,0,2,0,36,9,0,0,20,7,0,0,1434,1166,5,263,0,207,0,148,50,7,2,5,4,0,1,0,,NIL,,,
265,2016,Selimang Beach,"Saturday, 17 September 2016",Northland Primary School,Green Club ,7,4,32,300,193,82,0,106,2,0,3,193,82,0,0,0,3,5,0,0,11,3,7,11,13,4,0,0,0,23,2,0,0,0,0,0,2,0,0,0,0,1,0,1,3,3,0,0,0,106,0,64,0,0,42,0,0,0,0,0,,crabs,,,
266,2016,Punggol Beach 1,"Saturday, 17 September 2016",Ardentec Singapore Pte Ltd,Ashlyn Koh,40,12,30,360,666,389,3,38,8,0,228,666,389,137,42,10,28,20,0,0,15,3,22,3,15,6,23,0,10,21,34,3,0,2,1,0,8,1,0,0,7,0,0,0,228,170,3,47,8,38,0,30,6,0,2,0,0,0,0,0,,NIL,,,
267,2016,Punggol Beach 2,"Saturday, 17 September 2016",Advantest (Singapore) Pte Ltd,Abby Tan,64,11,103,100,743,251,3,2,7,0,480,743,251,20,0,19,0,15,0,0,0,0,93,1,28,0,75,0,0,0,0,3,0,0,2,1,7,0,0,0,4,0,0,3,480,480,0,0,0,2,0,0,0,0,2,0,0,0,0,0,,NIL,,,
268,2016,Punggol Beach 2,"Saturday, 17 September 2016",Singapore Customs,Ng Peng Siang,29,19,69,300,547,310,6,33,9,1,188,547,310,27,11,10,9,17,0,1,22,5,101,9,21,4,26,0,7,18,22,6,1,3,2,0,9,1,0,0,4,1,1,2,188,144,4,36,4,33,0,25,5,2,1,1,0,0,0,1,,NIL,,,
269,2016,Sungei Seletar 1,"Saturday, 3 September 2016",Adrian and Colleagues,Adrian Lim,9,21,180,100,1735,947,7,21,27,2,731,1735,947,1,5,7,42,55,2,36,159,12,239,24,26,107,132,26,0,30,44,7,0,2,2,3,27,0,0,0,24,2,0,1,731,593,12,124,2,21,0,0,19,0,2,2,0,1,1,0,,Fish,,,
270,2016,Sungei Seletar 1,"Saturday, 17 September 2016",North West Mosque Cluster,Izuan M Rais,70,10,18,100,332,245,6,14,13,0,54,332,245,12,14,8,32,11,0,5,3,3,37,13,1,79,1,0,0,16,10,6,0,6,0,0,13,0,0,0,2,9,0,2,54,23,14,15,2,14,0,10,4,0,0,0,0,0,0,0,,NIL,,,
271,2016,Sungei Seletar 2,"Saturday, 17 September 2016",Environmental Resources Management (S) Pte Ltd,Ivan Tay,11,10,77,100,1128,679,27,110,54,2,256,1128,679,0,100,30,1,134,1,90,13,19,94,11,10,42,89,0,4,34,7,27,11,0,16,0,54,0,1,0,49,4,0,0,256,209,3,44,0,110,0,79,23,2,6,2,0,0,2,0,,Horseshoe crab,,,
272,2016,Sungei Seletar 2,"Saturday, 17 September 2016",Siemens Pte Ltd,Raymond Ow,11,9,102,50,413,258,0,60,4,0,91,413,258,0,0,0,0,55,20,0,0,30,30,4,5,10,96,0,0,8,0,0,0,0,0,0,4,0,0,0,0,1,0,3,91,19,20,30,22,60,0,20,30,0,10,0,0,0,0,0,,NIL,,,
273,2016,Pulau Serangoon (Coney Island) Beach A,"Saturday, 15 October 2016",Renesas & Disty,CJ,60,21,247,500,538,328,27,49,27,0,107,538,328,14,8,13,6,22,7,0,17,8,112,26,15,20,34,7,1,6,12,27,0,13,14,0,27,0,0,0,10,4,0,13,107,56,14,36,1,49,0,29,15,0,5,0,0,0,0,0,,Crab,,,
274,2016,Pulau Serangoon (Coney Island) Beach B,"Saturday, 17 September 2016",Temasek Polytechnic Green Interest Group,"Tan Shi Zhou, Dixon Ho Jia Wei, Goh Xin Yan",12,6,24,50,191,95,0,22,4,0,70,191,95,0,5,0,2,9,0,1,1,1,43,1,0,7,4,0,4,7,10,0,0,0,0,0,4,0,0,0,4,0,0,0,70,64,1,5,0,22,0,19,2,1,0,0,0,0,0,0,,NIL,,,
275,2016,Pulau Serangoon (Coney Island) Beach C,"Saturday, 17 September 2016",NUS ESESC,NUS ESESC,20,17,35,100,615,211,14,29,13,1,347,615,211,9,29,6,7,36,0,5,12,9,59,2,0,6,16,0,4,8,3,14,0,1,13,0,13,0,0,2,6,5,0,0,347,221,6,117,3,29,0,14,1,14,0,1,0,1,0,0,,NIL,,,
276,2016,Pasir Ris 1,"Saturday, 17 September 2016",Overseas Family School,Overseas Family school,16,3,19,250,789,410,32,110,1,4,232,789,410,125,65,8,7,32,0,10,17,2,27,3,12,30,47,0,0,25,0,32,1,3,5,23,1,0,0,0,1,0,0,0,232,170,0,46,16,110,1,65,18,20,6,4,0,0,0,4,,NIL,,,
277,2016,Pasir Ris Beach 2,"Saturday, 17 September 2016",Tian Hua Holy House,Tang Li Pheng,25,9,46,200,1582,962,39,27,23,0,531,1582,962,512,35,3,3,28,4,0,135,24,24,2,8,67,86,3,11,15,2,39,3,20,1,15,23,0,1,5,2,1,14,0,531,128,20,378,5,27,1,14,2,1,9,0,0,0,0,0,,"crab leg, prawn",,,
278,2016,Pasir Ris Beach 6,"Saturday, 3 September 2016",Bukit Batok Secondary School,"Syam Lai Sadanandan (Dean, Normal Technical)",30,23,128,400,1510,1082,2,8,1,0,417,1510,1082,0,169,15,3,15,0,2,4,4,380,9,9,463,1,0,3,3,2,2,0,1,1,0,1,0,0,0,1,0,0,0,417,313,4,100,0,8,0,5,3,0,0,0,0,0,0,0,,Crab,,,
279,2016,Pasir Ris Beach 6,"Saturday, 3 September 2016",BW Monastery,Chee Ai Leen,31,23,137,200,1733,1415,53,47,13,4,201,1733,1415,12,464,6,1,13,2,23,203,28,55,7,3,401,148,1,7,35,6,53,0,14,25,14,13,1,0,1,7,4,0,0,201,25,43,131,2,47,0,28,7,8,4,4,0,1,2,1,,NIL,,,
280,2016,Pasir Ris Beach 6 ,"Saturday, 17 September 2016",Mediacorp Pte Ltd,"Pauline Lam, Oh Pei Ling",52,55,452,600,2570,2037,55,130,59,0,289,2570,2037,1,403,30,9,40,7,9,206,101,734,34,9,30,309,10,11,71,23,55,8,20,20,7,59,0,0,2,11,43,0,3,289,98,31,158,2,130,0,110,4,9,7,0,0,0,0,0,,NIL,,,
281,2016, Sungei Tampines,"Saturday, 17 September 2016",IBM Club IMS,IBM Club IMS,12,16,269,50,1143,833,19,12,44,0,235,1143,833,12,57,7,1,16,2,11,511,6,55,23,4,12,92,1,3,16,4,19,2,5,12,0,44,1,5,0,15,20,0,3,235,221,0,10,4,12,0,0,2,1,9,0,0,0,0,0,,0,,,
282,2016,Chek Jawa North 1,"Saturday, 3 September 2016",Bedok South Secondary School,Edzra Iskandar,25,55,259,250,858,707,53,50,1,0,47,858,707,27,4,65,43,213,0,25,8,37,210,3,3,57,12,0,0,0,0,53,0,3,5,45,1,0,0,0,0,0,0,1,47,2,0,45,0,50,0,34,16,0,0,0,0,0,0,0,,Horseshoe Crab,,,
283,2016,Chek Jawa North 2,"Saturday, 3 September 2016",Little Green Men,Sarah Bennett,33,45,229,50,1099,642,5,97,10,1,344,1099,642,2,44,6,6,19,2,6,70,6,438,23,6,5,0,0,0,6,3,5,2,0,3,0,10,1,0,0,1,1,1,6,344,139,123,71,11,97,0,39,57,0,1,1,0,1,0,0,,NIL,,,
284,2016,Chek Jawa South 1 - 3,"Saturday, 3 September 2016",Sukyo Mahikari,Patrick Sng,32,40,207,150,1818,1134,32,291,56,1,304,1818,1134,1,100,47,15,33,0,10,63,27,310,22,37,112,240,3,0,91,23,32,0,16,16,0,56,0,2,0,14,22,0,18,304,75,15,213,1,291,2,201,79,4,5,1,0,1,0,0,,NIL,,,
285,2016,Chek Jawa South 4-5,3rd September 2016,NorthLight School,Cynthia Foong,12,10,68,50,515,404,0,88,4,2,17,515,404,0,113,5,1,2,0,1,20,2,20,2,6,6,169,0,2,55,0,0,0,0,0,0,4,0,1,0,1,2,0,0,17,0,2,14,1,88,0,70,2,2,14,2,0,0,0,2,,NIL,,,
286,2016,Chek Jawa South 6,"Saturday, 3 September 2016",Oscar & Friends,Oscar,38,27,215,100,1813,311,32,12,3,0,1455,1813,311,0,45,78,0,54,0,2,3,4,88,17,4,13,0,0,0,1,2,32,1,5,26,0,3,1,0,0,0,1,0,1,1455,1276,13,166,0,12,0,0,10,2,0,0,0,0,0,0,,NIL,,,
287,2016,Ketam Beach 1,"Saturday, 17 September 2016",NUS Rotaract Club - Trees N Trunks,"Ernest Wee, Tan Jia Ee, Sow Jeng Teng, Tay Kai Yuan",23,15,174,250,2967,1353,56,130,55,2,1371,2967,1353,10,178,79,9,147,9,51,132,56,214,13,21,77,200,1,2,138,16,56,3,10,15,28,55,1,0,3,24,25,0,2,1371,1012,12,342,5,130,0,112,6,6,6,2,0,2,0,0,,0,,,
288,2016,Jelutong Beach,"Thursday, 22 September 2016",United World College SEA (Dover),Danny O'Connor,180,54,330,1000,2719,1463,238,48,184,4,782,2719,1463,70,124,15,26,128,15,0,71,42,178,130,89,144,284,63,0,49,35,238,7,111,79,41,184,32,0,8,9,113,1,21,782,306,139,297,40,48,0,15,11,19,3,4,3,0,1,0,,Sea horse,,,
289,2016,Sungei Jelutong,"Saturday, 17 September 2016",KBC Bank N.V. Singapore,Katelyn / Nigel / Bryan / Aaron,36,23,158,150,2009,1209,57,131,95,5,512,2009,1209,109,51,25,29,105,31,16,108,56,145,26,46,84,224,23,16,75,40,57,4,15,24,14,95,0,1,6,13,74,0,1,512,248,69,171,24,131,0,78,23,14,16,5,2,1,2,0,,Horseshoe crab,,,
290,2016,Sungei Ubin Beach,"Friday, 23 September 2016",Applied Materials Pte Ltd,Sally Foo,14,14,128,200,558,445,1,12,8,7,85,558,445,2,29,1,13,49,32,4,7,6,35,35,33,104,32,5,2,37,19,1,0,0,0,1,8,1,0,0,0,7,0,0,85,17,29,36,3,12,0,6,1,4,1,7,0,6,0,1,,NIL,,,
291,2016,Pulau Ubin Jetty Beach,"Saturday, 17 September 2016",TATA Consultancy Services Asia Pacific Pte. Ltd. ,Melissa Chia,19,16,72,140,168,50,13,0,2,0,103,168,50,0,0,0,0,5,0,0,3,0,7,0,0,3,32,0,0,0,0,13,3,5,5,0,2,0,0,0,0,0,0,2,103,32,33,38,0,0,0,0,0,0,0,0,0,0,0,0,,Lobster,,,
292,2016,Ubin Village Beach,"Saturday, 17 September 2016",Mun Siong Engineering ,Phoebe Choo,19,21,162,100,661,517,5,51,15,2,71,661,517,35,25,16,17,29,19,6,153,29,43,0,29,22,40,3,1,46,4,5,0,2,3,0,15,0,0,5,3,6,0,1,71,25,3,42,1,51,0,34,9,1,7,2,0,1,1,0,,Crab,,,
293,2016,Marina East Beach,"Saturday, 17 September 2016",Waterways Watch Society,Ann,100,250,1608,200,13601,11437,60,1468,33,0,603,13601,11437,20,49,92,41,180,187,81,584,20,9071,19,33,160,156,250,9,223,262,60,12,6,41,1,33,0,0,0,17,14,0,2,603,527,16,58,2,1468,0,150,1295,23,0,0,0,0,0,0,,Turtle shell,,,
294,2016,Pandan Mangrove (SP2),"Saturday, 3 September 2016",Crescent Girls' School,Ou Yang Xiuling,11,4,24,60,305,186,1,60,4,0,54,305,186,1,25,7,1,13,0,1,14,9,62,1,23,11,8,1,1,6,2,1,0,1,0,0,4,0,0,0,3,1,0,0,54,43,0,11,0,60,0,52,1,5,2,0,0,0,0,0,,NIL,,,
295,2016,Pandan Mangrove (SP2),3rd September 2016,FMC Technologies Singapore,Chua Sin Yee,20,26,73,60,1017,857,9,60,36,3,52,1017,857,11,87,22,10,33,5,8,14,12,56,10,44,304,121,38,26,31,25,9,0,0,9,0,36,0,0,6,7,23,0,0,52,25,2,22,3,60,0,31,7,12,10,3,0,0,3,0,,NIL,,,
296,2016,Pandan Mangrove (SP2),3rd September 2016,NUS High Otters (NUS High School of Mathematics and Science),NUSH Otters,33,19,72,50,1570,1104,13,101,27,0,325,1570,1104,19,221,7,13,38,0,6,229,50,176,4,40,25,167,74,5,8,22,13,0,2,10,1,27,0,1,0,12,12,0,2,325,104,3,190,28,101,0,50,8,29,14,0,0,0,0,0,,NIL,,,
297,2016,Pandan Mangroves (SP2),"Saturday, 17 September 2016",Wildlife Reserves Singapore,Claris Tan,14,9,78,60,1562,853,19,136,18,0,536,1562,853,9,377,5,6,38,0,7,138,16,24,5,16,37,160,2,1,12,0,19,0,0,19,0,18,0,1,0,7,8,0,2,536,58,9,464,5,136,1,10,1,110,14,0,0,0,0,0,,paradise tree snake,,,
298,2016,Pulau Semakau,"Saturday, 17 September 2016",HSBC,Ron Yeo,40,52,466,800,1293,835,12,55,10,0,381,1293,835,8,113,23,8,9,0,2,7,1,444,49,17,6,55,0,0,88,5,12,1,3,8,0,10,1,0,0,5,4,0,0,381,76,196,108,1,55,0,46,5,1,3,0,0,0,0,0,,NIL,,,
299,2016,St John's Island,3rd September 2016,Rinson & Friends,Rinson Chua,23,18,193,150,714,279,23,50,301,0,61,714,279,92,38,4,6,14,5,3,7,6,28,4,14,22,19,7,1,9,0,23,0,2,16,5,301,0,0,0,1,300,0,0,61,24,7,28,2,50,0,37,7,4,2,0,0,0,0,0,,NIL,,,
300,2016,"Tanjong Rimau, Sentosa","Saturday, 17 September 2016",Sentosa Development Corporation,"Lieow Shao Wei, Josephine Chee",24,7,44,230,403,202,7,43,13,0,138,403,202,0,0,0,12,1,0,0,1,4,157,0,10,0,4,7,1,5,0,7,0,2,5,0,13,0,1,0,0,10,0,2,138,68,30,40,0,43,0,26,15,2,0,0,0,0,0,0,,Crab,,,
